State,Pop. In Millions for 2012,RoLScore,elec_pros ,pol_plur,free_expr,assoc_org,per_auto,2012GDP,hprop,hfisc,hbiz,hlab,htra,hinv
Albania ,3.2,42.6,8,10,13,8,9,12648095824,30,92.6,81,49,79.8,65
Argentina,41.1,51.94,11,15,14,11,13,4.75502E+11,15,64.3,60.1,47.4,67.6,40
Australia ,22.7,73.28,12,15,16,12,15,1.53241E+12,90,66.4,95.5,83.5,86.2,80
Austria,8.4,73.15,12,15,16,12,15,3.94708E+11,90,51.1,73.6,80.4,86.8,85
Bangladesh ,154.7,31.57,9,11,9,8,9,1.16355E+11,20,72.7,68,51.9,54,55
Belgium,11.1,73.57,12,16,16,12,15,4.83262E+11,80,45,91.6,69.8,86.8,80
Bolivia ,10.5,33.51,11,11,14,9,9,27035110130,10,88.8,55.8,30.8,74.3,10
Bosnia and Herzegovina,3.8,55.77,8,10,10,7,10,17465958606,20,83.2,54.3,61.2,86.4,70
Botswana,2,60.56,10,11,13,10,11,14504339386,70,79.5,69,69.8,79.7,70
Brazil,198.7,51.83,11,14,15,10,12,2.25266E+12,50,70.3,53,57.2,69.7,50
Bulgaria ,7.3,47.26,11,15,14,11,11,50972109857,30,94,73.6,74.8,86.8,55
Burkina Faso,16.5,44.12,5,7,13,8,8,10441012681,30,81.4,61.2,56.4,72.5,55
Cambodia,14.9,28.69,3,3,9,4,6,14038383450,30,90.9,39.4,54.2,70.2,60
Cameroon,21.7,29.65,2,3,7,3,4,25321590402,30,69.3,46.8,55.5,54.9,35
Canada,34.8,70.03,12,16,16,12,16,1.82142E+12,90,79.8,91.7,82.3,88.2,75
Chile,17.5,65.99,12,15,16,12,15,2.69869E+11,90,77.6,70.5,74.2,82,85
China,1350.7,39.33,0,1,3,3,6,8.2271E+12,20,70.2,48,62.6,72,25
Colombia ,47.7,47.03,10,10,12,5,10,3.69606E+11,50,76.1,90.2,79.3,72.2,70
Cote d'Ivoire,19.8,36.55,5,4,4,5,4,24680372724,25,77.9,43.3,54.6,70.3,40
Croatia ,4.3,57.44,12,15,14,12,13,59228247411,40,75.4,63,42.4,87.5,75
Czech Republic,10.5,69.03,12,15,16,12,15,1.96446E+11,70,82,65.8,85.5,86.8,70
Denmark,5.6,80.48,12,16,16,12,15,3.14887E+11,90,39.8,98.4,91.1,86.8,85
Dominican Republic,10.3,49.17,10,12,15,10,11,59047202158,30,83.7,53.7,55.6,77.8,65
Ecuador,15.5,39.11,8,13,13,7,10,84039856000,20,80.1,51.5,48,68.1,20
Egypt,80.7,44.13,2,7,8,5,7,2.62832E+11,35,85.6,63.3,43.3,73.8,50
El Salvador ,6.3,34.75,12,14,15,8,10,23864400000,40,85.7,61.8,62,79,70
